# Список (потенциально всех) русских названий улиц
# Для удобства:
# - Не удаляйте заголовок
# - Поддерживайте сортировку списка (см. скрипт sort.sh)
# - Добавляйте комментарии к неочевидным названиям (Ангелов переулок,
#   Усачёва улица) и проблемам с е/ё; в комментарии указывайте регион,
#   где название встречается и, если возможно, ссылки на информацию
#   почему название именно такое
# - Комментарии начинаются с # <- 30-й позиции в строке
# - Возможные ошибки, которые надо расследовать и исправить, отмечаются
#   XXX или FIXME
# - Для названий, проверенных по внешним источникам, добавляйте тэги
#   в комментариях. При изменении, соответственно, тэг следует убрать.
#   На данный момент:
#     [ОМКУМ] - классификатор улиц Москвы
1-я Новостроевская улица
1-я Норская набережная
1-я Оборонная улица
1-я Овражная улица
1-я Озёрная улица
1-я Октябрьская улица
1-я Оранжерейная улица
1-я Оренбургская улица
1-я Останкинская улица
1-я Павлоградская улица
1-я Парковая улица
1-я Паровозная улица
1-я Парусная улица
1-я Первомайская улица
1-я Песочная улица
1-я Песчаная улица
1-я Петровская улица
1-я Пилотная улица
1-я Пионерская улица
1-я Пограничная улица
1-я Подрезковская улица
1-я Полевая улица
1-я Полянская улица
1-я Порядковая улица
1-я Посадская улица
1-я Поселковая улица
1-я Посёлочная улица
1-я Престижная улица
1-я Привокзальная улица
1-я Приволжская улица
1-я Пригородная улица
1-я Приозёрная улица
1-я Приречная улица
1-я Приусадебная улица
1-я Причальная улица
1-я Прогонная улица
1-я Проезжая улица
1-я Проектная улица
1-я Производственная улица
1-я Пролетарская улица
1-я Промышленная улица
1-я Прудовая улица
1-я Прядильная улица
1-я Пугачёвская улица
1-я Путейская улица
1-я Пушкинская улица
1-я Рабочая улица
1-я Радиальная улица
1-я Радиаторская улица
1-я Радужная улица
1-я Разъездная улица
1-я Районная улица
1-я Ракитная улица
1-я Рассветная улица
1-я Рейсовая улица
1-я Ремесленная улица
1-я Республиканская улица
1-я Родниковая улица
1-я Рыбацкая улица
1-я Рыбинская улица
1-я Рыбная улица
1-я Садовая улица
1-я Самарская улица
1-я Санаторная улица
1-я Сахалинская улица
1-я Северная линия
1-я Северодонецкая улица
1-я Семафорная улица
1-я Серебрянская улица
1-я Сестрорецкая улица
1-я Сибирская улица
1-я Силикатная улица
1-я Славянская улица
1-я Слободская улица
1-я Снежная улица
1-я Советская улица
1-я Совнархозная улица
1-я Совхозная улица
1-я Соколовская улица
1-я Сокольническая улица
1-я Соликамская улица
1-я Софийская улица
1-я Социалистическая улица
1-я Сочинская улица
1-я Союзная улица
1-я Спартаковская улица
1-я Сплавная улица
1-я Спортивная улица
1-я Станкозаводская улица
1-я Станционная улица
1-я Стахановская улица
1-я Стекольная улица
1-я Степная улица
1-я Сторожевая улица
1-я Стрелковая улица
1-я Студенческая улица
1-я Судоремонтная улица
1-я Талицкая улица
1-я Танеевская улица
1-я Таёжная улица
1-я Тверская улица
1-я Тверская-Ямская улица
1-я Текстильная улица
1-я Тенистая улица
1-я Теннисная улица
1-я Тепловозная улица
1-я Тихая улица
1-я Тихорецкая улица
1-я Товарищеская улица
1-я Тоннельная улица
1-я Торфяная улица
1-я Тракторная улица
1-я Трамвайная улица
1-я Транспортная улица
1-я Трубецкая улица
1-я Трутеевская улица
1-я Урожайная улица
1-я Учхозная улица
1-я Фабричная улица
1-я Февральская улица
1-я Федеративная улица
1-я Физкультурная улица
1-я Фрезерная улица
1-я Фрунзенская улица
1-я Футбольная улица
1-я Хабаровская улица
1-я Херсонская улица
1-я Холмистая улица
1-я Хотьковская улица
1-я Хуторская улица
1-я Цветочная улица
1-я Центральная улица
1-я Читинская улица
1-я Чоботовская аллея
1-я Шахтёрская улица
1-я Широкая улица
1-я Школьная улица
1-я Шоссейная улица
1-я Шуйская улица
1-я Щербаковская улица
1-я Элеваторная улица
1-я Электровозная улица
1-я Энергетическая улица
1-я Южная улица
1-я Юннатская улица
1-я Яблоневая улица
1-я Ямская улица
1-я Ясногорская улица
1-я линия
1-я линия Хорошёвского Серебряного Бора
1-я улица
1-я улица 8 Марта
1-я улица Александра Невского
1-я улица Бебеля
1-я улица Бухвостова
1-я улица Володарского
1-я улица Гоголя
